dataset,video,video_id,frame,stage,shape,dtype,min,max,mean,channel_order
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,8,gvc_encoder_input,"[1, 3, 1080, 1920]",torch.float32,-1.0,1.0,0.3168671429157257,NCHW RGB
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,8,inverse_preprocess_uint8,"[1, 3, 1080, 1920]",torch.uint8,0.0,255.0,167.9005584716797,NCHW RGB
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,16,loader_rgb_uint8,"[1, 3, 1080, 1920]",torch.uint8,0.0,255.0,160.24618530273438,NCHW RGB
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,16,wrapper_input,"[1, 3, 1080, 1920]",torch.float32,0.0,1.0,0.6284164190292358,NCHW RGB
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,16,gvc_encoder_input,"[1, 3, 1080, 1920]",torch.float32,-1.0,1.0,0.2568328082561493,NCHW RGB
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,16,inverse_preprocess_uint8,"[1, 3, 1080, 1920]",torch.uint8,0.0,255.0,160.24618530273438,NCHW RGB
uvg,Beauty,0,0,loader_rgb_uint8,"[1, 3, 1080, 1920]",torch.uint8,16.0,214.0,108.52205657958984,NCHW RGB
uvg,Beauty,0,0,wrapper_input,"[1, 3, 1080, 1920]",torch.float32,0.062745101749897,0.8392156958580017,0.42557668685913086,NCHW RGB
uvg,Beauty,0,0,gvc_encoder_input,"[1, 3, 1080, 1920]",torch.float32,-0.8745098114013672,0.6784313917160034,-0.1488465666770935,NCHW RGB
uvg,Beauty,0,0,inverse_preprocess_uint8,"[1, 3, 1080, 1920]",torch.uint8,16.0,214.0,108.52205657958984,NCHW RGB
uvg,Beauty,0,1,loader_rgb_uint8,"[1, 3, 1080, 1920]",torch.uint8,15.0,213.0,108.56002044677734,NCHW RGB
uvg,Beauty,0,1,wrapper_input,"[1, 3, 1080, 1920]",torch.float32,0.05882352963089943,0.8352941274642944,0.4257255792617798,NCHW RGB
uvg,Beauty,0,1,gvc_encoder_input,"[1, 3, 1080, 1920]",torch.float32,-0.8823529481887817,0.6705882549285889,-0.14854876697063446,NCHW RGB
uvg,Beauty,0,1,inverse_preprocess_uint8,"[1, 3, 1080, 1920]",torch.uint8,15.0,213.0,108.56002044677734,NCHW RGB
uvg,Beauty,0,8,loader_rgb_uint8,"[1, 3, 1080, 1920]",torch.uint8,16.0,213.0,108.69768524169922,NCHW RGB
uvg,Beauty,0,8,wrapper_input,"[1, 3, 1080, 1920]",torch.float32,0.062745101749897,0.8352941274642944,0.4262654185295105,NCHW RGB
uvg,Beauty,0,8,gvc_encoder_input,"[1, 3, 1080, 1920]",torch.float32,-0.8745098114013672,0.6705882549285889,-0.14746911823749542,NCHW RGB
uvg,Beauty,0,8,inverse_preprocess_uint8,"[1, 3, 1080, 1920]",torch.uint8,16.0,213.0,108.69768524169922,NCHW RGB
uvg,Beauty,0,16,loader_rgb_uint8,"[1, 3, 1080, 1920]",torch.uint8,16.0,212.0,108.46200561523438,NCHW RGB
uvg,Beauty,0,16,wrapper_input,"[1, 3, 1080, 1920]",torch.float32,0.062745101749897,0.8313725590705872,0.4253411591053009,NCHW RGB
uvg,Beauty,0,16,gvc_encoder_input,"[1, 3, 1080, 1920]",torch.float32,-0.8745098114013672,0.6627451181411743,-0.1493176370859146,NCHW RGB
uvg,Beauty,0,16,inverse_preprocess_uint8,"[1, 3, 1080, 1920]",torch.uint8,16.0,212.0,108.46200561523438,NCHW RGB
uvg,Bosphorus,1,0,loader_rgb_uint8,"[1, 3, 1080, 1920]",torch.uint8,41.0,239.0,138.11538696289062,NCHW RGB
uvg,Bosphorus,1,0,wrapper_input,"[1, 3, 1080, 1920]",torch.float32,0.16078431904315948,0.9372549057006836,0.5416289567947388,NCHW RGB
uvg,Bosphorus,1,0,gvc_encoder_input,"[1, 3, 1080, 1920]",torch.float32,-0.6784313917160034,0.8745098114013672,0.08325795829296112,NCHW RGB
uvg,Bosphorus,1,0,inverse_preprocess_uint8,"[1, 3, 1080, 1920]",torch.uint8,41.0,239.0,138.11538696289062,NCHW RGB
uvg,Bosphorus,1,1,loader_rgb_uint8,"[1, 3, 1080, 1920]",torch.uint8,38.0,239.0,138.12149047851562,NCHW RGB
uvg,Bosphorus,1,1,wrapper_input,"[1, 3, 1080, 1920]",torch.float32,0.14901961386203766,0.9372549057006836,0.5416529178619385,NCHW RGB
uvg,Bosphorus,1,1,gvc_encoder_input,"[1, 3, 1080, 1920]",torch.float32,-0.7019608020782471,0.8745098114013672,0.08330581337213516,NCHW RGB
uvg,Bosphorus,1,1,inverse_preprocess_uint8,"[1, 3, 1080, 1920]",torch.uint8,38.0,239.0,138.12149047851562,NCHW RGB
uvg,Bosphorus,1,8,loader_rgb_uint8,"[1, 3, 1080, 1920]",torch.uint8,39.0,240.0,138.1586456298828,NCHW RGB
uvg,Bosphorus,1,8,wrapper_input,"[1, 3, 1080, 1920]",torch.float32,0.15294118225574493,0.9411764740943909,0.5417986512184143,NCHW RGB
uvg,Bosphorus,1,8,gvc_encoder_input,"[1, 3, 1080, 1920]",torch.float32,-0.6941176652908325,0.8823529481887817,0.08359730243682861,NCHW RGB
uvg,Bosphorus,1,8,inverse_preprocess_uint8,"[1, 3, 1080, 1920]",torch.uint8,39.0,240.0,138.1586456298828,NCHW RGB
uvg,Bosphorus,1,16,loader_rgb_uint8,"[1, 3, 1080, 1920]",torch.uint8,39.0,241.0,138.18673706054688,NCHW RGB
uvg,Bosphorus,1,16,wrapper_input,"[1, 3, 1080, 1920]",torch.float32,0.15294118225574493,0.9450980424880981,0.541908860206604,NCHW RGB
uvg,Bosphorus,1,16,gvc_encoder_input,"[1, 3, 1080, 1920]",torch.float32,-0.6941176652908325,0.8901960849761963,0.08381766825914383,NCHW RGB
uvg,Bosphorus,1,16,inverse_preprocess_uint8,"[1, 3, 1080, 1920]",torch.uint8,39.0,241.0,138.18673706054688,NCHW RGB
uvg,HoneyBee,2,0,loader_rgb_uint8,"[1, 3, 1080, 1920]",torch.uint8,26.0,219.0,118.62272644042969,NCHW RGB
uvg,HoneyBee,2,0,wrapper_input,"[1, 3, 1080, 1920]",torch.float32,0.10196078568696976,0.8588235378265381,0.4651872217655182,NCHW RGB
uvg,HoneyBee,2,0,gvc_encoder_input,"[1, 3, 1080, 1920]",torch.float32,-0.7960784435272217,0.7176470756530762,-0.0696256086230278,NCHW RGB
uvg,HoneyBee,2,0,inverse_preprocess_uint8,"[1, 3, 1080, 1920]",torch.uint8,26.0,219.0,118.62272644042969,NCHW RGB
uvg,HoneyBee,2,1,loader_rgb_uint8,"[1, 3, 1080, 1920]",torch.uint8,28.0,219.0,118.62307739257812,NCHW RGB
uvg,HoneyBee,2,1,wrapper_input,"[1, 3, 1080, 1920]",torch.float32,0.10980392247438431,0.8588235378265381,0.46518853306770325,NCHW RGB
uvg,HoneyBee,2,1,gvc_encoder_input,"[1, 3, 1080, 1920]",torch.float32,-0.7803921699523926,0.7176470756530762,-0.06962288916110992,NCHW RGB
uvg,HoneyBee,2,1,inverse_preprocess_uint8,"[1, 3, 1080, 1920]",torch.uint8,28.0,219.0,118.62307739257812,NCHW RGB
uvg,HoneyBee,2,8,loader_rgb_uint8,"[1, 3, 1080, 1920]",torch.uint8,26.0,218.0,118.62781524658203,NCHW RGB
uvg,HoneyBee,2,8,wrapper_input,"[1, 3, 1080, 1920]",torch.float32,0.10196078568696976,0.8549019694328308,0.46520715951919556,NCHW RGB
uvg,HoneyBee,2,8,gvc_encoder_input,"[1, 3, 1080, 1920]",torch.float32,-0.7960784435272217,0.7098039388656616,-0.06958569586277008,NCHW RGB
uvg,HoneyBee,2,8,inverse_preprocess_uint8,"[1, 3, 1080, 1920]",torch.uint8,26.0,218.0,118.62781524658203,NCHW RGB
uvg,HoneyBee,2,16,loader_rgb_uint8,"[1, 3, 1080, 1920]",torch.uint8,28.0,218.0,118.62898254394531,NCHW RGB
uvg,HoneyBee,2,16,wrapper_input,"[1, 3, 1080, 1920]",torch.float32,0.10980392247438431,0.8549019694328308,0.4652117192745209,NCHW RGB
uvg,HoneyBee,2,16,gvc_encoder_input,"[1, 3, 1080, 1920]",torch.float32,-0.7803921699523926,0.7098039388656616,-0.06957662105560303,NCHW RGB
uvg,HoneyBee,2,16,inverse_preprocess_uint8,"[1, 3, 1080, 1920]",torch.uint8,28.0,218.0,118.62898254394531,NCHW RGB
