scope,dataset,video,method,qp,bitstream_path,bitstream_bytes,bitstream_sha256,real_rans
validation,validation,validation_0,beta_mid,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_mid_step_5000_qp1.bin,12429,07f81e7cbc091559cf9f70918cd8e69f3d30a38153643077f679d1793c4681f8,True
validation,validation,validation_0,beta_mid,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_mid_step_5000_qp3.bin,20743,56409c6eb4736053e67f4bdd7f13ac48c13a6172f2e8e74ac4e0d7db17b55455,True
validation,validation,validation_0,beta_high,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_high_final_qp1.bin,12287,65f9bf4a202c1613e8b184df260f6426f9b77673c2c7bc376542e2ed0be18d5d,True
validation,validation,validation_0,beta_high,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_high_final_qp3.bin,20405,3643a091b90e89b314d6180a89c403a743dfc28f44a71cf493916c48afbb5b91,True
validation,validation,validation_0,beta_high,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_high_step_0000_qp1.bin,12183,73e2ddbbe1d975c2a8d4de12b6b525f190aa6dbe9792387f37eeb0f74ddfcd66,True
validation,validation,validation_0,beta_high,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_high_step_0000_qp3.bin,20176,7f279930f89e078ae837e2ef1672e01b24120eaa770ab9362f69ee3ebd952c8d,True
validation,validation,validation_0,beta_high,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_high_step_0500_qp1.bin,12385,f9658ecb7a6d39b680b9cacd480863a56b71ea921c3f74d6b725c914759636ba,True
validation,validation,validation_0,beta_high,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_high_step_0500_qp3.bin,20463,a320699d63fe626ad52c1b1122b5377b66b8976e5866d102cf7859f1ba6180ad,True
validation,validation,validation_0,beta_high,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_high_step_1000_qp1.bin,12218,37561c8f9a450dc66660e4ddb2289097162500bfe90d1e01749bd6fa05b1ddb4,True
validation,validation,validation_0,beta_high,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_high_step_1000_qp3.bin,20544,1495fffb7314d21090cd2c6c171e8291da4773654087934923767ee6b16e65eb,True
validation,validation,validation_0,beta_high,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_high_step_2000_qp1.bin,12365,66b6dafc2a3ab9c8d6acbca61d74b15c1b3e6e109c1fc58c12be8855928b54d2,True
validation,validation,validation_0,beta_high,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_high_step_2000_qp3.bin,20382,0fa271dadda13958776e077a31e7dafb1fa9eb139783ed70232d036b399df9e7,True
validation,validation,validation_0,beta_high,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_high_step_5000_qp1.bin,12287,65f9bf4a202c1613e8b184df260f6426f9b77673c2c7bc376542e2ed0be18d5d,True
validation,validation,validation_0,beta_high,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_high_step_5000_qp3.bin,20405,3643a091b90e89b314d6180a89c403a743dfc28f44a71cf493916c48afbb5b91,True
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,original,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_00/original_qp0.bin,47024,5cc416a794a5e1045149867084a2d698d060296238df212bbe2cc05171c6961f,True
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,original,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_00/original_qp1.bin,57653,fc99a3ab6fe7472249a201022d1d522e575a4aa3f13271cfc5cf37505355cca6,True
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,original,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_00/original_qp2.bin,76829,8803aa44de557839d7f6f3261007e8c5e0919f7bf1a25e1f86abac81ae8c9e83,True
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,original,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_00/original_qp3.bin,96549,fe8dd2743db63b635b729536ecd5c81795c802d91ab11c161be16d2344a08dcb,True
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,beta_low,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_00/beta_low_qp0.bin,47024,5cc416a794a5e1045149867084a2d698d060296238df212bbe2cc05171c6961f,True
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,beta_low,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_00/beta_low_qp1.bin,57653,fc99a3ab6fe7472249a201022d1d522e575a4aa3f13271cfc5cf37505355cca6,True
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,beta_low,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_00/beta_low_qp2.bin,76829,8803aa44de557839d7f6f3261007e8c5e0919f7bf1a25e1f86abac81ae8c9e83,True
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,beta_low,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_00/beta_low_qp3.bin,96549,fe8dd2743db63b635b729536ecd5c81795c802d91ab11c161be16d2344a08dcb,True
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,beta_mid,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_00/beta_mid_qp0.bin,47024,5cc416a794a5e1045149867084a2d698d060296238df212bbe2cc05171c6961f,True
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,beta_mid,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_00/beta_mid_qp1.bin,57653,fc99a3ab6fe7472249a201022d1d522e575a4aa3f13271cfc5cf37505355cca6,True
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,beta_mid,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_00/beta_mid_qp2.bin,76829,8803aa44de557839d7f6f3261007e8c5e0919f7bf1a25e1f86abac81ae8c9e83,True
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,beta_mid,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_00/beta_mid_qp3.bin,96549,fe8dd2743db63b635b729536ecd5c81795c802d91ab11c161be16d2344a08dcb,True
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,beta_high,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_00/beta_high_qp0.bin,47206,e9b6d776eac64fc7563551921019e5d2940984c7a6cc1694b2be6fa4520ee4d9,True
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,beta_high,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_00/beta_high_qp1.bin,57584,ee997b39a929381c71dd9679c86d9fbddc7dfce0e7e33235107f4dae6768a5b2,True
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,beta_high,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_00/beta_high_qp2.bin,76726,d7f469f6b02b20731ff39be771f7ea1feab8033e89b01c9ab9f7fa152219ca56,True
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,beta_high,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_00/beta_high_qp3.bin,96493,32d3293ea13d8f394bbc39c168950c2c77a62e4f41ee527a80c48be2264799f8,True
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,original,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_01/original_qp0.bin,41938,7f739f71db1a1ee125aa4731ee337c022cbb99fe12dfaa13f5b963b99765e835,True
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,original,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_01/original_qp1.bin,52078,932734fe8a30e69316f35209b55ab123a58e5f55a0a3e5567bbbc63a7173ad02,True
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,original,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_01/original_qp2.bin,64056,aecf25a645ae859999c9339f55b2b2dc923d6530be3a40c81f106d257f2b76da,True
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,original,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_01/original_qp3.bin,78986,699f95510983015cc3b7bbb1ea4601d1a9a953dcd901daad6ad324131fa05c0d,True
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,beta_low,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_01/beta_low_qp0.bin,41938,7f739f71db1a1ee125aa4731ee337c022cbb99fe12dfaa13f5b963b99765e835,True
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,beta_low,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_01/beta_low_qp1.bin,52078,932734fe8a30e69316f35209b55ab123a58e5f55a0a3e5567bbbc63a7173ad02,True
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,beta_low,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_01/beta_low_qp2.bin,64056,aecf25a645ae859999c9339f55b2b2dc923d6530be3a40c81f106d257f2b76da,True
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,beta_low,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_01/beta_low_qp3.bin,78986,699f95510983015cc3b7bbb1ea4601d1a9a953dcd901daad6ad324131fa05c0d,True
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,beta_mid,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_01/beta_mid_qp0.bin,41938,7f739f71db1a1ee125aa4731ee337c022cbb99fe12dfaa13f5b963b99765e835,True
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,beta_mid,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_01/beta_mid_qp1.bin,52078,932734fe8a30e69316f35209b55ab123a58e5f55a0a3e5567bbbc63a7173ad02,True
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,beta_mid,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_01/beta_mid_qp2.bin,64056,aecf25a645ae859999c9339f55b2b2dc923d6530be3a40c81f106d257f2b76da,True
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,beta_mid,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_01/beta_mid_qp3.bin,78986,699f95510983015cc3b7bbb1ea4601d1a9a953dcd901daad6ad324131fa05c0d,True
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,beta_high,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_01/beta_high_qp0.bin,41393,be1f9829c7e86408018f9e3a4cdee4a7c64b92178bbaa0da69134a18f79615ef,True
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,beta_high,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_01/beta_high_qp1.bin,52246,1bbaa225768f5fcac01770787ef7989461c767fc6aa128bcf70d1b9fcbeb26eb,True
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,beta_high,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_01/beta_high_qp2.bin,63508,223ea7d204a0a81ac3e0b3125aee9e50310f34b91c0e577f1eb46854b2c82c8f,True
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,beta_high,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_01/beta_high_qp3.bin,79280,91e9bab584b5313cce35251dcc43c0bd2c9346d3537325fd283dadd4f1b78fb1,True
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,original,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_10/original_qp0.bin,27630,622f3e7de4baff153464ece8afe4e23d32236f3be6b4dd272f2a22258874eff3,True
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,original,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_10/original_qp1.bin,35312,6b3c2df67aabc382b1e31c2361aeb9766abd69f77fdef30a288bca23ef127aa1,True
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,original,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_10/original_qp2.bin,45636,0be9cb4006150e7e8da5a5a095b9284ac3f63de88d5670d2371765f02918360e,True
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,original,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_10/original_qp3.bin,60467,82b908f356f29f8f863419425c34dd515975b41a82dd596afdd27679a2f7e911,True
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,beta_low,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_10/beta_low_qp0.bin,27630,622f3e7de4baff153464ece8afe4e23d32236f3be6b4dd272f2a22258874eff3,True
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,beta_low,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_10/beta_low_qp1.bin,35312,6b3c2df67aabc382b1e31c2361aeb9766abd69f77fdef30a288bca23ef127aa1,True
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,beta_low,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_10/beta_low_qp2.bin,45636,0be9cb4006150e7e8da5a5a095b9284ac3f63de88d5670d2371765f02918360e,True
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,beta_low,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_10/beta_low_qp3.bin,60467,82b908f356f29f8f863419425c34dd515975b41a82dd596afdd27679a2f7e911,True
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,beta_mid,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_10/beta_mid_qp0.bin,27630,622f3e7de4baff153464ece8afe4e23d32236f3be6b4dd272f2a22258874eff3,True
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,beta_mid,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_10/beta_mid_qp1.bin,35312,6b3c2df67aabc382b1e31c2361aeb9766abd69f77fdef30a288bca23ef127aa1,True
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,beta_mid,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_10/beta_mid_qp2.bin,45636,0be9cb4006150e7e8da5a5a095b9284ac3f63de88d5670d2371765f02918360e,True
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,beta_mid,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_10/beta_mid_qp3.bin,60467,82b908f356f29f8f863419425c34dd515975b41a82dd596afdd27679a2f7e911,True
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,beta_high,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_10/beta_high_qp0.bin,27675,84e6193fa1f7bdc809fc71695bfccd045dac9f8f713acd9c68ac32e9c63e1d21,True
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,beta_high,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_10/beta_high_qp1.bin,35630,f03bbf736acb5f4f6e96ac77dc31762d5a9a731f426798797242b89c7638d0d3,True
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,beta_high,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_10/beta_high_qp2.bin,46373,d995967dedb4ed38b92b4061f26d0112a52ca7cf9d7c992029eebdb1f8024350,True
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,beta_high,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_10/beta_high_qp3.bin,61835,5cea99bf3e7bb52ca42dd6f252d442172a53d4a56164103d379ec5f84f964d3f,True
test,uvg,Beauty,original,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/uvg_00/original_qp0.bin,16226,133f666e2a31c5fcc6b543ad7eb3377b67aefa49070fffaa4d945394f120baa0,True
test,uvg,Beauty,original,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/uvg_00/original_qp1.bin,22057,13fdd9c6a840f891261e981d633e82ee5be3bda83988b3baa2f497cbe4e36e7d,True
test,uvg,Beauty,original,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/uvg_00/original_qp2.bin,29975,8bf5d404b6b8af15fd1e7e9de49fe8da815420162bb55ef8a8dac4ae47bb0ca4,True
test,uvg,Beauty,original,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/uvg_00/original_qp3.bin,41349,4c8229f65cb550a0586288cb5a25e94104c56b78bcd5ec7229ce4615ba98bfac,True
test,uvg,Beauty,beta_low,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/uvg_00/beta_low_qp0.bin,16226,133f666e2a31c5fcc6b543ad7eb3377b67aefa49070fffaa4d945394f120baa0,True
test,uvg,Beauty,beta_low,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/uvg_00/beta_low_qp1.bin,22057,13fdd9c6a840f891261e981d633e82ee5be3bda83988b3baa2f497cbe4e36e7d,True
test,uvg,Beauty,beta_low,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/uvg_00/beta_low_qp2.bin,29975,8bf5d404b6b8af15fd1e7e9de49fe8da815420162bb55ef8a8dac4ae47bb0ca4,True
test,uvg,Beauty,beta_low,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/uvg_00/beta_low_qp3.bin,41349,4c8229f65cb550a0586288cb5a25e94104c56b78bcd5ec7229ce4615ba98bfac,True
