split,video,method,alpha,stream_sha256,unique_receiver_key
Val6,b3d4cebf-21ab-41e1-b79a-729d35794681,M4_O_FRAME_GUARD,0.1,8b467bdbf7f08aee5be74697148455d7dfcea124155ca963b476a907de8b5f4f,b3d4cebf-21ab-41e1-b79a-729d35794681_8b467bdbf7f08aee
Val6,b3d4cebf-21ab-41e1-b79a-729d35794681,M4_O_FRAME_GUARD,0.25,b6e9eb52df5a54287a9b4d42d563691d995a5af1958585a468ddc67dd7657ed6,b3d4cebf-21ab-41e1-b79a-729d35794681_b6e9eb52df5a5428
Val6,b3d4cebf-21ab-41e1-b79a-729d35794681,M4_O_FRAME_GUARD,0.5,be116d4c234606bba43f74fd69e3c552bba81ce74189115db0fe917dfb4f50c3,b3d4cebf-21ab-41e1-b79a-729d35794681_be116d4c234606bb
Val6,46da3cc3-6beb-425c-a870-c8d7bae89311,M2_E_FRAME_GUARD,0.1,e8db1143b8efc9bbe4d907a7e423dd63f91ed575ffe4036f793b3f57bc2c0b61,46da3cc3-6beb-425c-a870-c8d7bae89311_e8db1143b8efc9bb
Val6,46da3cc3-6beb-425c-a870-c8d7bae89311,M2_E_FRAME_GUARD,0.25,76922e68b050391b7c6c32b0bb576a1923cf6dcf49fb009d6bd72665f8d17f5d,46da3cc3-6beb-425c-a870-c8d7bae89311_76922e68b050391b
Val6,46da3cc3-6beb-425c-a870-c8d7bae89311,M2_E_FRAME_GUARD,0.5,2fe5a74d7689a50b98a8b1801d7d5b1a9ea990cce91dd123a92759be52d67462,46da3cc3-6beb-425c-a870-c8d7bae89311_2fe5a74d7689a50b
Val6,46da3cc3-6beb-425c-a870-c8d7bae89311,M4_O_FRAME_GUARD,0.1,e8db1143b8efc9bbe4d907a7e423dd63f91ed575ffe4036f793b3f57bc2c0b61,46da3cc3-6beb-425c-a870-c8d7bae89311_e8db1143b8efc9bb
Val6,46da3cc3-6beb-425c-a870-c8d7bae89311,M4_O_FRAME_GUARD,0.25,76922e68b050391b7c6c32b0bb576a1923cf6dcf49fb009d6bd72665f8d17f5d,46da3cc3-6beb-425c-a870-c8d7bae89311_76922e68b050391b
Val6,46da3cc3-6beb-425c-a870-c8d7bae89311,M4_O_FRAME_GUARD,0.5,2b046109c251f99f3ba920900bd4a2738744a59f3b638b391f0ccca8208a33d8,46da3cc3-6beb-425c-a870-c8d7bae89311_2b046109c251f99f
Val6,2996c286-14c5-4157-95ba-f2a73fae0187,M2_E_FRAME_GUARD,0.25,4890a900f0c855f3793ce218ffb7367af6e93d75e93b0c1f653faf97b3d75da2,2996c286-14c5-4157-95ba-f2a73fae0187_4890a900f0c855f3
Val6,2996c286-14c5-4157-95ba-f2a73fae0187,M2_E_FRAME_GUARD,0.5,85784f87b382caa162b8f2b4152611fba4644b7621a967f07481c16d89721861,2996c286-14c5-4157-95ba-f2a73fae0187_85784f87b382caa1
Val6,2996c286-14c5-4157-95ba-f2a73fae0187,M4_O_FRAME_GUARD,0.25,4890a900f0c855f3793ce218ffb7367af6e93d75e93b0c1f653faf97b3d75da2,2996c286-14c5-4157-95ba-f2a73fae0187_4890a900f0c855f3
Val6,2996c286-14c5-4157-95ba-f2a73fae0187,M4_O_FRAME_GUARD,0.5,85784f87b382caa162b8f2b4152611fba4644b7621a967f07481c16d89721861,2996c286-14c5-4157-95ba-f2a73fae0187_85784f87b382caa1
