codec,dataset,video,video_id,rate_control,bitstream_path,bitstream_bytes,bytes_consumed,frame_count,frame_count_correct,shape_correct,finite,reconstruction_max_abs_diff_uint8,payload_identity,decode_status,model_hash_before,model_hash_after
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I11_P10,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_00_qi11_qp10.bin,94712,94712,64,True,True,True,0,,PASS,1a247e96c5725cadeb7fe76b30d8345ed02a30aee4666c87360d1eae7893b0f8,1a247e96c5725cadeb7fe76b30d8345ed02a30aee4666c87360d1eae7893b0f8
DCVC-RT,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,I19_P19,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_01_q19.bin,51888,51888,64,True,True,True,0,,PASS,1a247e96c5725cadeb7fe76b30d8345ed02a30aee4666c87360d1eae7893b0f8,1a247e96c5725cadeb7fe76b30d8345ed02a30aee4666c87360d1eae7893b0f8
DCVC-RT,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,I28_P28,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_01_q28.bin,79821,79821,64,True,True,True,0,,PASS,1a247e96c5725cadeb7fe76b30d8345ed02a30aee4666c87360d1eae7893b0f8,1a247e96c5725cadeb7fe76b30d8345ed02a30aee4666c87360d1eae7893b0f8
DCVC-RT,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,I16_P16,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_10_q16.bin,34526,34526,64,True,True,True,0,,PASS,1a247e96c5725cadeb7fe76b30d8345ed02a30aee4666c87360d1eae7893b0f8,1a247e96c5725cadeb7fe76b30d8345ed02a30aee4666c87360d1eae7893b0f8
DCVC-RT,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,I28_P28,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_10_q28.bin,60920,60920,64,True,True,True,0,,PASS,1a247e96c5725cadeb7fe76b30d8345ed02a30aee4666c87360d1eae7893b0f8,1a247e96c5725cadeb7fe76b30d8345ed02a30aee4666c87360d1eae7893b0f8
DCVC-RT,uvg,Beauty,0,I26_P26,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_00_q26.bin,21751,21751,64,True,True,True,0,,PASS,1a247e96c5725cadeb7fe76b30d8345ed02a30aee4666c87360d1eae7893b0f8,1a247e96c5725cadeb7fe76b30d8345ed02a30aee4666c87360d1eae7893b0f8
DCVC-RT,uvg,Beauty,0,I38_P38,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_00_q38.bin,41479,41479,64,True,True,True,0,,PASS,1a247e96c5725cadeb7fe76b30d8345ed02a30aee4666c87360d1eae7893b0f8,1a247e96c5725cadeb7fe76b30d8345ed02a30aee4666c87360d1eae7893b0f8
DCVC-RT,uvg,Bosphorus,1,I27_P28,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_01_qi27_qp28.bin,31718,31718,64,True,True,True,0,,PASS,1a247e96c5725cadeb7fe76b30d8345ed02a30aee4666c87360d1eae7893b0f8,1a247e96c5725cadeb7fe76b30d8345ed02a30aee4666c87360d1eae7893b0f8
DCVC-RT,uvg,Bosphorus,1,I36_P36,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_01_q36.bin,51533,51533,64,True,True,True,0,,PASS,1a247e96c5725cadeb7fe76b30d8345ed02a30aee4666c87360d1eae7893b0f8,1a247e96c5725cadeb7fe76b30d8345ed02a30aee4666c87360d1eae7893b0f8
DCVC-RT,uvg,HoneyBee,2,I23_P23,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_02_q23.bin,28155,28155,64,True,True,True,0,,PASS,1a247e96c5725cadeb7fe76b30d8345ed02a30aee4666c87360d1eae7893b0f8,1a247e96c5725cadeb7fe76b30d8345ed02a30aee4666c87360d1eae7893b0f8
DCVC-RT,uvg,HoneyBee,2,I34_P34,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_02_q34.bin,43990,43990,64,True,True,True,0,,PASS,1a247e96c5725cadeb7fe76b30d8345ed02a30aee4666c87360d1eae7893b0f8,1a247e96c5725cadeb7fe76b30d8345ed02a30aee4666c87360d1eae7893b0f8
